JUSTICE,PHRASE,AT_WINNER_COUNT,AT_LOSER_COUNT,AT_WINNER_PERCENT,AT_LOSER_PERCENT
SOTOMAYOR,why should we,2,10,0.16666666666666666,0.8333333333333334
SOTOMAYOR,could you tell me what,3,5,0.375,0.625
SOTOMAYOR,that there are,2,6,0.25,0.75
SOTOMAYOR,are you suggesting,2,7,0.2222222222222222,0.7777777777777778
SOTOMAYOR,between the two,2,5,0.2857142857142857,0.7142857142857143
SOTOMAYOR,terms of the,2,6,0.25,0.75
SOTOMAYOR,you tell me what,5,7,0.4166666666666667,0.5833333333333333
SOTOMAYOR,that if you,3,8,0.2727272727272727,0.7272727272727273
SOTOMAYOR,is going to be,4,8,0.3333333333333333,0.6666666666666667
SOTOMAYOR,of some sort,3,5,0.375,0.625
SOTOMAYOR,and thats what,2,6,0.25,0.75
SOTOMAYOR,seems to be,5,5,0.5,0.5
SOTOMAYOR,as read the,0,0,,
SOTOMAYOR,that the government,3,4,0.42857142857142855,0.5714285714285714
SOTOMAYOR,go back to the,0,3,0.0,1.0
SOTOMAYOR,going to have,2,6,0.25,0.75
SOTOMAYOR,why isnt that,4,8,0.3333333333333333,0.6666666666666667
SOTOMAYOR,the issue is,4,8,0.3333333333333333,0.6666666666666667
SOTOMAYOR,would be the,3,4,0.42857142857142855,0.5714285714285714
SOTOMAYOR,that you would,2,5,0.2857142857142857,0.7142857142857143
SOTOMAYOR,on the basis,4,9,0.3076923076923077,0.6923076923076923
SOTOMAYOR,it seems to,4,4,0.5,0.5
SOTOMAYOR,on the basis of,4,8,0.3333333333333333,0.6666666666666667
SOTOMAYOR,you think that,5,9,0.35714285714285715,0.6428571428571428
SOTOMAYOR,it seems to me,4,3,0.5714285714285714,0.4285714285714286
SOTOMAYOR,that you are,5,11,0.3125,0.6875
SOTOMAYOR,your argument that,4,2,0.6666666666666666,0.33333333333333337
SOTOMAYOR,so how do,5,9,0.35714285714285715,0.6428571428571428
SOTOMAYOR,dont know that,1,5,0.16666666666666666,0.8333333333333334
SOTOMAYOR,why is that,5,9,0.35714285714285715,0.6428571428571428
SOTOMAYOR,nature of the,6,6,0.5,0.5
SOTOMAYOR,the right to,4,10,0.2857142857142857,0.7142857142857143
SOTOMAYOR,is that what,7,6,0.5384615384615384,0.46153846153846156
SOTOMAYOR,thats what the,5,11,0.3125,0.6875
SOTOMAYOR,you seem to,5,5,0.5,0.5
SOTOMAYOR,seems to me,5,4,0.5555555555555556,0.4444444444444444
SOTOMAYOR,with respect to the,5,4,0.5555555555555556,0.4444444444444444
SOTOMAYOR,you seem to be,5,4,0.5555555555555556,0.4444444444444444
SOTOMAYOR,the lower courts,3,9,0.25,0.75
SOTOMAYOR,the end of,5,8,0.38461538461538464,0.6153846153846154
SOTOMAYOR,tell me what,10,14,0.4166666666666667,0.5833333333333333
SOTOMAYOR,of the state,4,7,0.36363636363636365,0.6363636363636364
SOTOMAYOR,be able to,6,4,0.6,0.4
SOTOMAYOR,to do it,5,12,0.29411764705882354,0.7058823529411764
SOTOMAYOR,say that the,7,5,0.5833333333333334,0.41666666666666663
SOTOMAYOR,which is the,5,5,0.5,0.5
SOTOMAYOR,problem is that,6,1,0.8571428571428571,0.1428571428571429
SOTOMAYOR,to look at,6,5,0.5454545454545454,0.4545454545454546
SOTOMAYOR,the basis of,5,10,0.3333333333333333,0.6666666666666667
SOTOMAYOR,sense to me,4,4,0.5,0.5
SOTOMAYOR,to say that,5,8,0.38461538461538464,0.6153846153846154
SOTOMAYOR,to the question,2,6,0.25,0.75
SOTOMAYOR,you are saying,5,7,0.4166666666666667,0.5833333333333333
SOTOMAYOR,statute of limitations,5,3,0.625,0.375
SOTOMAYOR,why dont we,6,4,0.6,0.4
SOTOMAYOR,youre saying is,5,4,0.5555555555555556,0.4444444444444444
SOTOMAYOR,question which is,5,5,0.5,0.5
